provide,"[동] 제공하다, 공급하다, 준비하다"
purchase,[동] 구매하다 [명] 구매
conscience,[명] 양심
pose,"[동] 자세를 취하다, (문제를) 제기하다 [명] 자세"
length,[명] 길이
severe,"[형] 심한, 엄격한"
decade,"[명] 10년, 10년간"
occupy,"[동] (시간, 장소를) 차지하다, 전념하다"
acquire,[동] 습득하다
interact,[동] 상호 작용하다
brief,[형] 간단한; [명] 간단한 보고; [동] 간단히 알리다
observe,"[동] 관찰하다, ~을 보다, 준수하다"
poetry,"[명] 시, 운문"
salary,"[명] 급료, 봉급"
grain,"[명] 곡물, 낟알"
meaningful,"[형] 의미 있는, 의미심장한"
weed,[명] 잡초 [동] 잡초를 제거하다
survival,[명] 생존
comment,"[명] 논평, 주석
[동] 논평하다"
leap,"[동] 뛰다, 도약하다
[명] 도약"
survey,"[동] 둘러보다, 조사하다
[명] 설문 조사"
typical,"[형] 전형적인, 대표적인"
mere,[형] 단지 ~에 불과한
mechanic,[명] 기계공
mood,"[명] 분위기, 기분"
approve,"[동] 승인하다, 찬성하다"
rural,[형] 시골의
finance,"[명] 재정, 자금
[동] 자금을 조달하다"
seek,"[동] 찾다, 추구하다"
operation,"[명] 작업, 운영, 수술"
crime,[명] 범죄
awful,"[형] 끔찍한, 지독한"
series,"[명] 연속, 시리즈물"
exhausted,"[형] 고갈된, 기진맥진한"
absolute,"[형] 완전한, 절대적인"
surround,[동] 둘러싸다
display,"[동] 전시하다, 나타내다
[명] 전시"
policy,"[명] 정책, 수단"
mass,"[명] 덩어리, 집단"
committee,[명] 위원회
accurate,[형] 정확한
arrange,"[동] 정리하다, 준비하다"
facility,"[명] 시설, 편의"
consult,"[동] 상담하다, 참고하다"
refer,"[동] 언급하다, 위탁하다"
attach,"[동] 붙이다, 첨부하다"
recover,"[동] 회복하다, 되찾다"
reward,"[명] 보상
[동] 보답하다"
enormous,"[형] 엄청난, 거대한"
domestic,"[형] 국내의, 가정의"
wealth,"[명] 부, 재산"
elementary,"[형] 초보의, 기초적인"
gap,"[명] 격차, 틈"
except,"[전] ~을 제외하고
[동] 제외하다"
journey,[명] 여행
plain,"[형] 평범한, 명백한"
downtown,"[명] 도심
[형]도심의
[부] 도심지에서"
previous,"[형] 이전의, 앞의"
produce,"[동] 생산하다, 제조하다"
remain,"[동] 여전히 ~이다, 남다"
break,"[동] 깨다, 고장내다"
slight,"[형] 약간의, 경미한"
include,[동] 포함하다
delay,"[동] 연기하다, 미루다[명] 지연"
file,"[명] 서류철[동] 파일에 철하다, 제기하다"
ethic,[명] 윤리
instant,"[형] 즉각의, 즉석의[명] 순간"
reveal,"[동] 폭로하다, 드러내다"
breed,"[동] 낳다, 양육하다"
leisure,[명] 여가[형] 한가한
urban,[형] 도시의
witness,[명] 목격자[동] 목격하다
admit,"[동] 인정하다, 입학을 허가하다"
muscle,"[명] 근육, 힘"
device,"[명] 장치, 고안, 방책"
suppose,"[동] 추측하다, 가정하다"
owe,[동] 빚지고 있다
intend,"[동] ~할 작정이다, 의도하다"
aspect,"[명] 면, 관점"
potential,[형] 잠재적인[명] 잠재력
award,[명] 상[동] (상 등을) 수여하다
preserve,"[동] 보존하다, 보호하다"
spot,"[명] 장소, 점[동] 발견하다"
underground,"[형] 지하의, 비밀의[명] 지하"
consequence,"[명] 결과, 중요성"
target,[명] 목표[동] 목표로 삼다
unless,[접] 만약 ~이 아니면
accomplish,"[동] 이루다, 성취하다"
adopt,"[동] 입양하다, 채택하다"
unique,"[형] 독특한, 유일한"
slip,"[동] 미끄러지다, 실수하다[명] 종이 조각"
civilization,[명] 문명
row,"[명] 열, 줄[동] 배를 젓다"
horizon,[명] 지평선
atmosphere,"[명] 대기, 분위기"
label,"[명] 꼬리표, 상표[동] 라벨을 붙이다"
decorate,"[동] 장식하다, ~에게 훈장을 주다"
identify,"[동] ~임을 확인하다, 식별하다, 동일시하다"
standard,"[명] 표준, 기준
[형] 기준의, 표준의"
scale,"[명] 규모, 저울, 비늘"
evident,[형] 명백한
seldom,[부] 거의 ~않는
secretary,"[명] 비서, 장관"
basis,"[명] 원리, 기초"
automatic,"[형] 자동적인, 기계적인"
region,[명] 지역
rise,"[동] 일어나다, 오르다
[명] 상승"
addict,"[동] 중독시키다
[명] 중독자"
disappoint,[동] 실망시키다
artificial,"[형] 인공적인, 인조의"
possess,"[동] 소유하다, ~의 마음을 사로잡다"
substance,"[명] 물질, 본질, 실체"
realistic,"[형] 현실적인, 현실주의의"
encounter,"[동] (우연히) 만나다
[명] 마주침"
differ,"[동] 다르다, 의견을 달리하다"
principle,"[명] 원칙, 원리"
memorize,[동] 기억하다
physics,[명] 물리학
evaluate,[동] 평가하다
tremendous,"[형] 굉장한, 무시무시한"
application,"[명] 적용, 신청"
vote,"[명] 투표
[동] 투표하다"
spread,"[명] 퍼짐, 확산
[동] 펼치다, 퍼지다"
impact,"[명] 충격, 영향
[동] 충격을 주다"
cooperate,[동] 협력하다
emit,"[동] (빛, 열, 소리 등을)방출하다"
request,"[명] 요청
[동] 요청하다"
guarantee,"[동] 보장하다
[명] 보증"
resist,[동] 저항하다
fulfill,"[동] 달성하다, 이행하다"
stink,"[동] 역겹다, 악취를 풍기다"
grant,"[동] 수여하다, 승인하다"
rely,"[동] 의지하다, 믿다"
permanent,"[형] 영원한, 영구적인"
emergency,[명] 비상 사태
rid,[동] 제거하다
theme,"[명] 주제, 화제"
hesitate,"[동] 주저하다, 망설이다"
location,"[명] 위치, 장소"
restrict,"[동] 제한하다, 한정하다"
organism,"[명] 유기체, 생물"
resolve,"[동] 해결하다, 결심하다"
offer,"[동] 제공하다, 제안하다"
distribute,"[동] 분배하다, 분포시키다"
rainforest,[명] 열대우림
circumstance,"[명] 상황, 환경"
interpret,"[동] 해석하다, 통역하다"
suitable,"[형] 적절한, 적합한"
curve,"[명] 곡선, 속임수"
annoy,"[동] 괴롭히다, 귀찮게 하다"
frighten,[동] 겁먹게 하다
estimate,"[동] 평가하다[명] 견적, 평가"
refuse,[동] 거절하다
adventure,[명] 모험[동] 위험에 빠뜨리다
entrance,"[명] 입구, 입장"
persuade,[동] 설득하다
perceive,"[동] 인지하다, 인식하다"
recite,[동] 암송하다
gather,[동] 모으다
cabin,"[명] 객실, 선실, 오두막집"
gear,"[명] 장비,  기어[동] 맞게 조정하다"
ray,[명] 광선
release,"[동] 놓아주다, 방출하다[명] 석방, 발표"
rank,"[명] 지위, 계급[동] 매기다, (등급을)차지하다"
symphony,[명] 교향곡
envy,[동] 부러워하다[명] 부러움
corporate,"[형] 회사의, 법인의"
alternative,[명] 대안[형] 대안의
retire,[동] 은퇴하다
appeal,"[동] 호소하다, 관심을 끌다[명] 호소, 항의"
identical,"[형] 동일한, 일란성의"
investment,[명] 투자
autograph,[명] 서명[동] 서명하다
slave,[명] 노예
harm,"[명] 손해, 손상[동] 해치다"
authority,"[명] 권위, 당국"
innocence,"[명] 결백, 무죄, 순진"
infant,"[명] 유아, 유치원생"
calculate,[동] 계산하다
charity,[명] 자선 단체
receive,[동] 받다
whereas,"[접] 그런데, ~에 반해서"
board,"[명] 판자, 게시판[동] 타다"
ignorant,"[형] 무지한, 무식한"
depend,"[동] 의존하다, ~에 달려 있다"
pure,"[형] 순수한, 깨끗한"
extinct,"[형] 멸종된, 사라진"
household,[명] 가정[형] 가정의
chapter,"[명] (책의) 장, 시기, 사제단"
refund,[동] 환불하다[명] 환불금
institute,"[명] 기관, 협회"
lately,[부] 최근에
accept,[동] 받아들이다
ashamed,[형] 부끄러워하는
dense,"[형] 밀집한, (앞이 안 보이게) 짙은"
rescue,[동] 구출하다[명] 구출
continue,[동] 계속하다
destination,[명] 목적지
expand,"[동] 확장되다, 확장시키다"
evolution,"[명] 진화, 발전"
hire,[동] 고용하다
isolate,"[동] 고립시키다, 격리시키다"
gravity,[명] 중력
genuine,"[형] 진짜의, 진실된"
statue,[명] 조각상
compete,[동] 경쟁하다
military,"[형] 군의, 군사의[명] 군, 군대"
logic,"[명] 논리, 논리학"
commit,"[동] (죄 등을) 저지르다, 약속하다, 헌신하다"
sensible,"[형] 합리적인, 현명한"
sum,"[명] 금액, 합계"
conserve,"[동] 보존하다, 보호하다"
swing,"[동] 흔들다, 휘두르다"
marriage,"[명] 결혼, 결혼 생활"
reproduce,"[동] 번식하다, 재생하다, 복제하다"
tone,"[명] 음조, 어조, 억양 [동] 조화하다, 탄력있게 만들다"
concept,[명] 개념
invitation,[명] 초대
precise,"[형] 정확한, 정밀한"
formal,"[형] 공식적인, 격식을 차린"
particle,"[명] 작은 조각, 입자"
cancel,[동] 취소하다
return,"[동] 돌아가다, 돌려주다[명] 돌아감, 귀향"
departure,"[명] 출발, 떠남, 일탈"
apparent,[형] 명백한
visual,"[형] 눈에 보이는, 시각의"
agriculture,[명] 농업
rite,"[명] 의식, 의례"
poverty,[명] 가난
sculpture,[명] 조각상
descend,"[동] 내려가다, 내려오다"
leak,[동] 새다[명] 새는 구멍
portion,"[명] 부분, 1인분"
companion,"[명] 친구, 동료"
diligent,[형]근면한
distinct,"[형] 뚜렷한, 다른"
component,[명] 구성 요소[형] 구성하는
current,"[형] 현재의, 지금의"
universal,"[형] 보편적인, 전 세계의"
trap,[명] 덫[동] 가두다
eager,[형] 갈망하는
legal,"[형] 법률의, 합법적인"
demonstrate,"[동] 입증하다, 시위하다, 설명하다"
democracy,[명] 민주주의
mature,[형] 성숙한[동] 성숙하다
brilliant,"[형] 빛나는, 훌륭한"
annual,"[형] 연간의, 해마다의"
faith,"[명] 믿음, 신념"
spare,"[동] (시간, 돈을) 할애하다, (고생을) 면하게 하다[형] 여분의"
transfer,"[동] 이동하다, 옮기다, 환승하다[명] 이[동] 환승"
refrigerator,[명] 냉장고
oppose,[동] 반대하다
desperate,"[형] 절망적인, 필사적인"
remote,"[형] 멀리 떨어진, 원격 조정의"
offend,[동] 불쾌하게 하다
awake,[형] 깨어있는
aim,"[동] 목표로 하다, 겨누다[명] 목표"
option,"[명] 선택, 선택권"
insight,[명] 통찰력
achieve,"[동] 이루다, 성취하다"
civil,"[형] 시민의, 민간의"
pause,[동] 잠시 멈추다[명] 중단
prove,[동] 입증하다
lecture,[명] 강의[동] 강의를 하다
minor,"[형] 사소한, [명] 미성년자[동] 부전공하다"
duty,"[명] 의무, 관세"
vigor,[명] 활력
organize,"[동] 조직하다, 구성하다"
chief,"[명] 우두머리[형] 우두머리의, 주요한"
complicated,[형] 복잡한
digest,[동] 소화하다[명] 요약
shortage,"[명] 부족, 결함"
laboratory,[명] 실험실[형] 실험의
arrive,[동] 도착하다
generous,"[형] 관대한, 넉넉한"
laundry,[명] 세탁물
transform,"[동] 변형시키다, 변환하다"
discipline,"[명] 규율, 훈련[동] 훈육하다, 징계하다"
forbid,[동] 금지하다
ultimate,"[형] 궁극적인, 최후의"
thrive,"[동] 번영하다, 발전하다"
conversation,"[명] 대화, 회담"
bet,"[동] 돈을 걸다, 내기를 하다[명] 내기"
royal,"[형] 왕족의, 왕의"
ruin,"[동] 망치다, 파멸시키다[명] 파멸, 파산"
worship,"[동] 숭배하다, 예배하다[명] 숭배, 예배"
evil,[형] 사악한[명] 악
scarce,"[형] 부족한, 드문"
afterward,"[부] 나중에, 그 후에"
client,"[명] 고객, 의뢰인"
insure,"[동] 보험을 계약하다, 안전하게 하다"
fancy,[명] 공상[형] 화려한[동] 공상하다
surgery,[명] 외과 수술
assign,"[동] 할당하다, 지정하다"
regulate,"[동] 규제하다, 조절하다"
shelf,[명] 선반
utility,"[명] 공익사업, 유용성"
necessity,"[명] 필요, 필수, 필수품"
yield,"[동] 생산하다, 굴복하다, 양도하다[명] 수확(물)"
decline,"[명] 감소, 쇠퇴[동] 감소하다, 쇠퇴하다, 거절하다"
coincidence,"[명] 우연의 일치, 동시에 일어난 사건"
aside,"[부] 한쪽으로, 제쳐 두고"
contemporary,"[형] 현대의, 동시대의"
bless,"[동] 축복하다, 감사하다"
explain,[동] 설명하다
prior,"[형] 이전의, 우선하는"
tolerate,"[동] 참다, 용인하다"
measure,"[동] 측정하다[명] 측정, 수단"
abstract,"[형] 추상적인[명] 추상, 개요"
cottage,[명] 오두막집
correct,"[형] 올바른, 정확한[동] 바로잡다, 정정하다"
confirm,"[동] 확인하다, 입증하다, (결심을) 굳게 하다"
imitate,[동] 모방하다
prey,"[명] 먹이, 희생자"
defeat,[동] 패배시키다[명] 패배
illustrate,"[동] 설명하다, (분명히) 보여주다, 삽화를 넣다"
fuse,"[명] 퓨즈, 도화선[동] 융합하다"
pupil,"[명] 학생, 눈동자"
intellect,[명] 지성
spice,"[명] 향신료, 양념"
tempt,[동] 유혹하다 (관심을) 끌다
inspire,"[동] 영감을 주다, 고무시키다, 격려하다"
dine,"[동] 식사하다, 만찬을 대접하다"
literally,[부] 문자 그대로
appropriate,[형] 적절한
resort,"[명] 휴양지, 의지[동] 의지하다, 자주 가다"
grab,[동] 움켜쥐다[명] 움켜쥠
propose,"[동] 제안하다, 청혼하다"
wreck,"[명] 난파선, 사고[동] 난파시키다"
document,"[명] 문서, 서류[동] 기록하다"
suspect,[동] 의심하다[명] 용의자
alien,"[형] 외국의, 이질적인[명] 외국인, 외계인"
prohibit,[동] 금지하다
install,[동] 설치하다
triumph,[명] 승리[동] 승리하다
scholarship,"[명] 장학금, 학문"
execute,"[동] 실행하다, 처형하다"
ensure,"[동] 반드시 ~하게 하다, 보장하다, 확실하게 하다"
receipt,[명] 영수증
defect,"[명] 결점, 결함[동] (국가?당 등을) 버리다"
trait,"[명] 특징, 특성"
modest,"[형] 겸손한, 미천한, 알맞은"
virtual,"[형] 실제의, 가상의, 사실상의"
compare,"[동] 비교하다, 비유하다"
address,"[명] 주소, 연설, 인사말[동] 연설하다, 접근하다"
inner,"[형] 안쪽의, 내적인, 내부의"
contrary,"[형] 반대의, 불리한[명] 정반대, 반대의 것"
split,"[동] 나뉘다, 분열되다, 찢다, 쪼개다[명] 틈, 분열"
supervise,"[동] 감독하다, 관리하다, 통제하다"
inhabit,"[동] ~에 살다, 거주하다"
appear,"[동] 나타나다, ~인 것 같다"
commute,[동] 통근하다[명] 통근(거리)
earthquake,"[명] 지진, (사회?정치적) 대변동"
enroll,"[동] 등록하다, 입학하다"
debate,"[동] 논쟁하다, 토론하다[명] 논쟁, 토론"
abandon,"[동] 버리다, 포기하다"
conquer,"[동] 정복하다, 이기다, 극복하다"
nevertheless,[부] 그럼에도 불구하고
seal,"[동] 봉인하다[명] 봉인, 도장, 바다표범"
greed,"[명] 탐욕, 식탐"
contract,"[명] 계약, 계약서[동] 계약하다, 수축하다"
nutrition,[명] 영양
retail,[명] 소매[동] 소매하다[부] 소매로
prejudice,"[명] 편견, 선입관[동] 편견을 갖게 하다"
register,"[동] 등록하다, 기재하다[명] 등록부"
agency,"[명] 기관, 대행사, 대리점"
nurture,"[동] 양육하다, 양성하다, 교육하다[명] 교육, 양육"
priest,[명] 성직자
elegant,"[형] 우아한, 고상한"
impose,"[동] 부과하다, 강요하다"
arise,"[동] 발생하다, 일어나다, 생겨나다"
modify,"[동] 수정하다, 변형하다"
masterpiece,"[명] 대표작, 대작, 명작"
harsh,"[형] 가혹한, 거친"
drought,[명] 가뭄
criteria,"[형] 기준, 표준 (criterion의 복수형)"
extraordinary,"[형] 비범한, 기이한, 놀라운"
dim,"[형] 희미한, 어둑한
[동] 어둑하게 하다"
general,"[형] 일반적인, 전반적인
[명] 장군"
scream,"[동] 비명을 지르다
[명] 비명"
spill,"[동] 흘리다, 쏟다"
glare,"[동] 노려보다, 반짝 반짝 빛나다
[명] 노려봄, 눈부신 빛"
swallow,"[명] 삼킴, 제비
[동] 삼키다"
usual,"[형] 늘 하는, 흔히 있는"
routine,"[명] 틀에 박힌 일
[형] 일상적인, 지루한"
eliminate,"[동] 제거하다, 삭제하다"
deny,"[동] 부인하다, 거절하다"
sensitive,"[형] 민감한, 예민한"
tragic,[형] 비극적인
deprive,"[동] 빼앗다, 강탈하다"
conscious,"[형] 의식하는, 의식이 있는"
interfere,[동] 간섭하다
temporary,[형] 임시의
council,[명] 의회
adolescent,"[명] 청소년
[형] 청소년의"
arctic,[형] 북극의
capture,"[동] 붇잡다, 점유하다"
dilute,"[형] 묽은
[동] 묽게 하다, 약화시키다"
associate,"[동] 연상하다, 어울리다
[명] 동료"
figure,"[명] 숫자, 인물
[동] 이해하다, 계산하다"
warehouse,[명] 창고
crew,"[명] 승무원, (특별한 기술의)팀
[동] 승무원으로 일하다"
barrier,"[명] 장벽, 장애물"
pedestrian,"[명] 보행자
[형] 보행자의"
glance,"[동] 흘꿋 보다
[명] 흘끗 봄"
errand,[명] 심부름
irritate,"[동] 짜증나게 하다, 자극하다"
welfare,"[명] 복지, 행복"
cruel,"[형] 잔인한, 비참한"
fold,"[동] 주름
[동] 접다"
trial,"[명] 재판, 시험"
tribe,[명] 부족
profound,"[형] 깊은, 심오한"
tradition,[명] 전통
distinguish,[동] 구별하다
statement,"[명] 진술, 성명, 진술서"
prevail,"[동] 만연하다, 우세하다"
widespread,[형] 널리 퍼진
result,[명] 결과
fade,"[동] 사라지다, (색깔이) 바래다"
progress,"[명] 진전, 진보[동] 진보하다"
weapon,[명] 무기
drastic,"[형] 과감한, 격렬한"
reinforcement,"[명] 병력 증강, 강화"
wonder,"[동] 궁금해하다, 놀라다[명] 놀라움"
pile,[명] 더미[동] 쌓다
protect,[동] 보호하다
infection,[명] 감염
stiffen,[동] 굳어지다
endanger,[동] 위험에 빠뜨리다
adjust,"[동] 조절하다, 적응하다"
peer,"[명] 동료, 또래[동] 자세히 들여다보다"
renew,"[동] 새롭게 하다, 연장하다"
germ,"[명] 세균, 싹, 근원"
atom,[명] 원자
realize,"[동] 깨닫다, 실현하다"
enrich,[동] 부유하게 하다
noble,"[형] 고결한, 귀족의"
repair,[동] 수리하다[명] 수리
candidate,[명] 후보자
ideal,[형] 이상적인[명] 이상
crop,[명] 농작물
ethnic,[형] 민족의
foretell,[동] 예언하다
wholesale,"[형] 도매의, 대량의"
debt,[명] 부채
representative,[명] 대표자
shift,[동] 바꾸다[명] 변화
strict,"[형] 엄격한, 엄밀한"
appliance,[명] 가전제품
